System Epoch,Device,Category,E4 Epoch,Value
1669786300183,E4,Gsr,1669786299.715,2.139555
1669786300183,E4,Gsr,1669786299.965,2.136994
1669786300183,E4,Gsr,1669786300.215,2.138275
1669786301667,E4,Gsr,1669786300.465,2.139555
1669786301667,E4,Gsr,1669786300.715,2.140836
1669786301668,E4,Gsr,1669786300.965,2.136994
1669786301668,E4,Gsr,1669786301.215,2.138275
1669786301668,E4,Gsr,1669786301.465,2.133152
1669786301668,E4,Gsr,1669786301.715,2.133152
1669786303176,E4,Gsr,1669786301.965,2.133152
1669786303176,E4,Gsr,1669786302.215,2.133152
1669786303177,E4,Gsr,1669786302.465,2.131871
1669786303177,E4,Gsr,1669786302.715,2.13059
1669786303177,E4,Gsr,1669786302.965,2.133152
1669786303177,E4,Gsr,1669786303.215,2.13059
1669786304682,E4,Gsr,1669786303.465,2.126748
1669786304682,E4,Gsr,1669786303.715,2.124186
1669786304683,E4,Gsr,1669786303.965,2.119063
1669786304683,E4,Gsr,1669786304.215,2.11394
1669786304683,E4,Gsr,1669786304.465,2.116501
1669786304683,E4,Gsr,1669786304.715,2.11394
1669786306167,E4,Gsr,1669786304.965,2.108816
1669786306167,E4,Gsr,1669786305.215,2.103693
1669786306167,E4,Gsr,1669786305.465,2.101132
1669786306167,E4,Gsr,1669786305.715,2.097289
1669786306167,E4,Gsr,1669786305.965,2.096009
1669786306167,E4,Gsr,1669786306.215,2.092166
1669786307674,E4,Gsr,1669786306.465,2.087043
1669786307674,E4,Gsr,1669786306.715,2.083201
1669786307675,E4,Gsr,1669786306.965,2.079358
1669786307675,E4,Gsr,1669786307.215,2.076797
1669786307675,E4,Gsr,1669786307.465,2.076797
1669786307675,E4,Gsr,1669786307.715,2.074235
1669786309160,E4,Gsr,1669786307.965,2.072954
1669786309160,E4,Gsr,1669786308.215,2.06655
1669786309161,E4,Gsr,1669786308.465,2.063989
1669786309161,E4,Gsr,1669786308.715,2.058866
1669786309161,E4,Gsr,1669786308.965,2.058866
1669786309161,E4,Gsr,1669786309.215,2.053742
1669786310667,E4,Gsr,1669786309.715,2.047338
1669786310667,E4,Gsr,1669786309.465,2.048619
1669786310668,E4,Gsr,1669786309.965,2.044777
1669786310668,E4,Gsr,1669786310.215,2.040935
1669786310668,E4,Gsr,1669786310.465,2.042215
1669786310668,E4,Gsr,1669786310.715,2.038373
1669786312175,E4,Gsr,1669786310.965,2.031969
1669786312175,E4,Gsr,1669786311.215,2.037092
1669786312177,E4,Gsr,1669786311.465,2.030688
1669786312177,E4,Gsr,1669786311.715,2.030688
1669786312177,E4,Gsr,1669786311.965,2.024284
1669786312177,E4,Gsr,1669786312.215,2.028126
1669786313661,E4,Gsr,1669786312.465,2.026846
1669786313661,E4,Gsr,1669786312.715,2.024284
1669786313662,E4,Gsr,1669786312.965,2.026846
1669786313662,E4,Gsr,1669786313.215,2.026846
1669786313662,E4,Gsr,1669786313.465,2.026846
1669786313662,E4,Gsr,1669786313.715,2.025565
1669786315169,E4,Gsr,1669786313.965,2.031969
1669786315169,E4,Gsr,1669786314.215,2.030688
1669786315169,E4,Gsr,1669786314.465,2.030688
1669786315169,E4,Gsr,1669786314.715,2.025565
1669786315169,E4,Gsr,1669786314.965,2.024284
1669786315169,E4,Gsr,1669786315.215,2.023003
1669786316675,E4,Gsr,1669786315.465,2.016599
1669786316675,E4,Gsr,1669786315.715,2.015319
1669786316676,E4,Gsr,1669786315.965,2.010195
1669786316676,E4,Gsr,1669786316.215,2.005072
1669786316676,E4,Gsr,1669786316.465,1.997388
1669786316676,E4,Gsr,1669786316.715,1.996107
