,,Category,Value,,
1664977578603,1664977578.554040,E4_Bvp,13.01917,,
1664977578603,1664977578.569660,E4_Bvp,2.947632,,
1664977578603,1664977578.585290,E4_Bvp,-19.5011,,
1664977578603,1664977578.600920,E4_Bvp,-43.35242,,
1664977578603,1664977578.616540,E4_Bvp,-56.27893,,
1664977578603,1664977578.632170,E4_Bvp,-51.27795,,
1664977578603,1664977578.647790,E4_Bvp,-30.77234,,
1664977578782,1664977578.663420,E4_Bvp,-5.192261,,
1664977578782,1664977578.694670,E4_Bvp,12.37769,,
1664977578782,1664977578.710300,E4_Bvp,13.36975,,
1664977578782,1664977578.725920,E4_Bvp,-1.742798,,
1664977578782,1664977578.741550,E4_Bvp,-23.67627,,
1664977578782,1664977578.757170,E4_Bvp,-39.51367,,
1664977578782,1664977578.772800,E4_Bvp,-39.61475,,
1664977578782,1664977578.788430,E4_Bvp,-22.60156,,
1664977578782,1664977578.804050,E4_Bvp,3.858398,,
1664977578782,1664977578.819680,E4_Bvp,27.39807,,
1664977578940,1664977578.835300,E4_Bvp,37.37659,,
1664977578941,1664977578.850930,E4_Bvp,30.44037,,
1664977578941,1664977578.866550,E4_Bvp,11.99512,,
1664977578941,1664977578.882180,E4_Bvp,-6.900757,,
1664977578941,1664977578.897810,E4_Bvp,-15.63538,,
1664977578941,1664977578.913430,E4_Bvp,-9.463013,,
1664977578941,1664977578.929060,E4_Bvp,8.363831,,
1664977578941,1664977578.944680,E4_Bvp,28.79742,,
1664977578941,1664977578.960310,E4_Bvp,42.26227,,
1664977578941,1664977578.975930,E4_Bvp,43.65649,,
1664977578941,1664977577.720000,E4_Bvp,34.67224,,
1664977578962,1664977577.970000,E4_Bvp,22.10022,,
1664977578962,1664977578.220000,E4_Bvp,13.43396,,
1664977578962,1664977578.470000,E4_Bvp,12.38123,,
1664977578962,1664977578.720000,E4_Bvp,17.11859,,
1664977578962,1664977578.970000,E4_Bvp,21.40466,,
1664977578962,1664977578.991560,E4_Bvp,14.18152,,
1664977579120,1664977579.007190,E4_Bvp,4.031189,,
1664977579121,1664977579.022810,E4_Bvp,-2.595398,,
1664977579121,1664977579.038440,E4_Bvp,-0.9637451,,
1664977579121,1664977579.054060,E4_Bvp,8.409851,,
1664977579121,1664977579.069690,E4_Bvp,19.26434,,
1664977579121,1664977579.085310,E4_Bvp,22.94977,,
1664977579121,1664977579.100940,E4_Bvp,13.53406,,
1664977579121,1664977579.116570,E4_Bvp,-8.187195,,
1664977579121,1664977579.132190,E4_Bvp,-34.12604,,
1664977579121,1664977579.147820,E4_Bvp,-52.75916,,
1664977579121,1664977579.163440,E4_Bvp,-55.08185,,
1664977579300,1664977579.179070,E4_Bvp,-39.27051,,
1664977579300,1664977579.194690,E4_Bvp,-11.91852,,
1664977579300,1664977579.210320,E4_Bvp,15.2851,,
1664977579300,1664977579.225950,E4_Bvp,31.46545,,
1664977579300,1664977579.241570,E4_Bvp,31.74915,,
1664977579301,1664977579.257200,E4_Bvp,19.36646,,
1664977579301,1664977579.272820,E4_Bvp,3.537231,,
1664977579301,1664977579.288450,E4_Bvp,-5.633301,,
1664977579301,1664977579.304070,E4_Bvp,-2.201477,,
1664977579301,1664977579.319700,E4_Bvp,13.05859,,
1664977579302,1664977579.335330,E4_Bvp,33.83752,,
1664977579456,1664977579.350950,E4_Bvp,52.37665,,
1664977579457,1664977579.366580,E4_Bvp,63.7352,,
1664977579457,1664977579.382200,E4_Bvp,67.94235,,
1664977579457,1664977579.397830,E4_Bvp,68.86667,,
1664977579457,1664977579.413450,E4_Bvp,70.87711,,
1664977579457,1664977579.429080,E4_Bvp,75.32321,,
1664977579457,1664977579.444710,E4_Bvp,79.33212,,
1664977579457,1664977579.460330,E4_Bvp,77.55936,,
1664977579457,1664977579.475960,E4_Bvp,66.02872,,
1664977579457,1664977579.491580,E4_Bvp,45.65256,,
1664977579457,1664977579.507210,E4_Bvp,23.00882,,
1664977579637,1664977579.522830,E4_Bvp,7.728943,,
1664977579638,1664977579.538460,E4_Bvp,7.41391,,
1664977579638,1664977579.554090,E4_Bvp,23.57056,,
1664977579638,1664977579.569710,E4_Bvp,50.29367,,
1664977579639,1664977579.585340,E4_Bvp,77.16949,,
1664977579639,1664977579.600960,E4_Bvp,94.23453,,
